wage 	educ  	exper	tenure	nonwhite  	female 	married  	numdep	smsa 	northcen  	south                    	west 	construc	trade                    	services	profserv	profocc 	clerocc   	servocc                  	lwage 	expersq 	tenursq 
11,76	14	40	39	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2,465	1600	1521
3	12	1	0	0	1	0	2	1	0	0	0	0	1	0	0	1	0	0	1,099	1	0
4,81	12	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1,571	4	0
6,5	12	4	1	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1,872	16	1
4	9	19	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1,386	361	1
3,5	13	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1,253	1	0
13,16	12	34	22	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	2,577	1156	484
4,25	14	5	2	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	1,447	25	4
3,5	12	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1,253	9	0
5,13	15	6	6	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1,635	36	36
3,75	12	14	0	0	1	1	3	1	0	0	0	0	0	1	0	0	0	1	1,322	196	0
4,5	12	35	12	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1,504	1225	144
7,63	12	8	4	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2,032	64	16
15	14	7	7	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2,708	49	49
6,85	15	11	3	0	1	1	2	1	0	0	0	0	0	0	1	1	0	0	1,924	121	9
13,33	12	14	11	0	0	1	2	1	0	0	0	0	1	0	0	1	0	0	2,590	196	121
6,67	12	35	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1,898	1225	100
2,53	12	46	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0,928	2116	0
9,8	17	7	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	2,282	49	0
3,37	11	45	12	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1,215	2025	144
24,98	18	29	25	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	3,218	841	625
5,4	12	6	3	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1,686	36	9
6,11	14	15	0	0	0	1	2	1	0	0	0	0	1	0	0	1	0	0	1,810	225	0
4,2	14	33	16	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1,435	1089	256
3,75	10	15	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1,322	225	0
3,5	14	5	0	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1,253	25	0
3,64	12	7	2	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	1,292	49	4
3,8	15	6	1	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1,335	36	1
3	8	33	12	0	1	1	3	0	0	1	0	0	0	0	0	0	0	0	1,099	1089	144
5	16	2	1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1,609	4	1
4,63	14	4	0	0	1	1	2	1	0	1	0	0	0	0	1	0	0	1	1,533	16	0
3	15	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1,099	1	0
3,2	12	29	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1,163	841	0
3,91	18	17	3	0	0	1	2	0	0	1	0	0	0	0	1	1	0	0	1,364	289	9
6,43	16	17	3	0	1	1	2	0	0	1	0	0	0	0	1	1	0	0	1,861	289	9
5,48	10	36	3	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1,701	1296	9
1,5	8	31	30	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0,405	961	900
2,9	10	23	2	0	1	0	2	0	0	1	0	0	0	0	1	0	0	1	1,065	529	4
5	11	13	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1,609	169	1
8,92	18	3	3	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	2,188	9	9
5	15	15	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1,609	225	0
3,52	12	48	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1,258	2304	1
2,9	11	6	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1,065	36	0
4,5	12	12	0	0	0	1	3	1	0	1	0	0	1	0	0	0	0	0	1,504	144	0
2,25	12	5	0	0	1	0	2	1	0	1	0	0	1	0	0	0	0	1	0,811	25	0
5	14	19	5	0	0	1	4	1	0	1	0	0	1	0	0	0	0	0	1,609	361	25
10	16	9	3	1	0	1	2	1	0	1	0	0	0	0	0	1	0	0	2,303	81	9
3,75	2	39	13	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	1,322	1521	169
10	14	28	11	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	2,303	784	121
10,95	16	23	20	0	0	1	4	1	0	1	0	0	0	0	0	1	0	0	2,393	529	400
7,9	12	2	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2,067	4	0
4,72	12	15	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1,552	225	1
5,84	13	5	0	0	1	1	1	1	0	1	0	0	0	0	1	0	1	0	1,765	25	0
3,83	12	18	2	0	1	0	3	1	0	1	0	0	0	0	0	0	1	0	1,343	324	4
3,2	15	2	2	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	1,163	4	4
2	10	3	0	1	1	0	5	1	0	1	0	0	1	0	0	0	0	1	0,693	9	0
4,5	12	31	4	0	1	1	3	1	0	1	0	0	0	0	1	0	1	0	1,504	961	16
11,55	16	20	5	0	1	1	3	1	0	1	0	1	0	0	0	0	1	0	2,447	400	25
2,14	13	34	15	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0,761	1156	225
2,38	9	5	0	1	0	0	5	1	0	1	0	0	0	0	0	0	0	1	0,867	25	0
3,75	12	11	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1,322	121	0
5,52	13	31	3	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1,708	961	9
6,5	12	8	5	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1,872	64	25
3,1	12	2	2	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1,131	4	4
10	14	18	5	0	0	1	2	1	0	1	0	0	0	0	0	1	0	0	2,303	324	25
6,63	16	3	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1,892	9	0
10	16	3	2	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	2,303	9	4
2,31	9	4	1	0	1	0	5	0	1	0	0	0	1	0	0	0	0	1	0,837	16	1
6,88	18	4	4	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1,929	16	16
2,83	10	1	0	0	0	0	4	1	1	0	0	0	1	0	0	0	0	0	1,040	1	0
3,13	10	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1,141	1	0
8	13	28	5	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	2,079	784	25
4,5	12	47	4	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1,504	2209	16
8,65	18	13	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	2,158	169	1
2	13	2	6	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0,693	4	36
4,75	12	48	2	0	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1,558	2304	4
6,25	13	6	5	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	1,833	36	25
6	13	8	0	0	0	1	2	1	1	0	0	0	0	0	1	0	0	1	1,792	64	0
15,38	13	25	21	0	0	1	2	1	1	0	0	0	0	0	1	1	0	0	2,733	625	441
14,58	18	13	7	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	2,680	169	49
12,5	12	8	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2,526	64	1
5,25	12	19	10	0	1	1	2	1	1	0	0	0	0	0	0	0	1	0	1,658	361	100
2,17	13	1	4	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0,775	1	16
7,14	12	43	5	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1,966	1849	25
6,22	12	19	9	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1,828	361	81
9	12	11	5	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	2,197	121	25
10	14	43	4	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	2,303	1849	16
5,77	10	44	3	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	1,753	1936	9
4	12	22	11	0	1	1	2	1	1	0	0	0	0	0	0	0	0	0	1,386	484	121
8,75	16	3	2	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	2,169	9	4
6,53	16	3	2	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1,876	9	4
7,6	12	41	11	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	2,028	1681	121
5	14	5	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1,609	25	0
5	12	14	11	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1,609	196	121
21,86	12	24	16	0	0	1	3	1	1	0	0	0	1	0	0	1	0	0	3,085	576	256
8,64	12	28	8	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	2,156	784	64
3,3	12	25	8	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1,194	625	64
4,44	12	3	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1,491	9	0
4,55	12	11	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1,515	121	0
3,5	12	7	6	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1,253	49	36
6,25	16	9	2	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1,833	81	4
3,85	16	5	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1,348	25	0
6,18	14	9	3	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1,821	81	9
2,91	11	1	0	0	1	0	3	1	1	0	0	0	0	1	0	1	0	0	1,068	1	0
6,25	16	2	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	1,833	4	1
6,25	12	13	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	1,833	169	0
9,05	12	10	2	0	0	1	3	1	1	0	0	1	0	0	0	1	0	0	2,203	100	4
10	17	5	3	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	2,303	25	9
11,11	12	30	8	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	2,408	900	64
6,88	12	31	19	0	0	1	3	1	1	0	0	0	0	0	1	0	0	1	1,929	961	361
8,75	16	1	2	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2,169	1	4
10	8	9	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	2,303	81	0
3,05	12	10	0	0	1	1	2	1	1	0	0	0	1	0	0	0	0	0	1,115	100	0
3	12	38	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1,099	1444	0
5,8	12	19	6	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	1,758	361	36
4,1	16	5	0	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1,411	25	0
8	12	26	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	2,079	676	4
6,15	12	35	12	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1,816	1225	144
2,7	9	2	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0	0,993	4	0
2,75	13	1	2	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1,012	1	4
3	16	19	10	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1,099	361	100
3	14	3	2	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1,099	9	4
7,36	8	36	24	0	0	1	3	1	1	0	0	0	0	0	0	0	0	0	1,996	1296	576
7,5	14	29	24	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	2,015	841	576
3,5	13	1	2	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	1,253	1	4
8,1	12	38	3	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	2,092	1444	9
3,75	18	1	2	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1,322	1	4
3,25	9	29	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1,179	841	0
5,83	8	36	15	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1,763	1296	225
3,5	8	4	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	1	1,253	16	0
3,33	12	45	4	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1,203	2025	16
4	14	22	3	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1,386	484	9
3,5	12	20	4	0	1	1	2	0	0	0	0	0	0	0	1	0	1	0	1,253	400	16
6,25	16	5	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1,833	25	0
2,95	8	15	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1,082	225	4
5,71	13	10	2	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	1,742	100	4
3	9	3	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1,099	9	0
22,86	16	16	7	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	3,129	256	49
9	12	38	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	2,197	1444	1
8,33	15	33	26	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	2,120	1089	676
3	11	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1,099	4	0
5,75	14	6	5	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1,749	36	25
6,76	12	19	3	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1,911	361	9
10	12	29	0	0	0	1	2	1	0	0	0	0	0	0	1	0	1	0	2,303	841	0
3	12	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1,099	4	0
3,5	18	3	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1,253	9	1
3,25	12	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1,179	16	0
4	12	10	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1,386	100	1
2,92	12	4	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	1,072	16	0
3,06	12	14	10	1	1	0	3	0	0	1	0	0	1	0	0	0	0	0	1,118	196	100
3,2	12	15	5	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	1,163	225	25
4,75	12	19	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	1,558	361	0
3	14	17	0	0	1	1	4	1	0	1	0	0	0	1	0	0	1	0	1,099	289	0
18,16	16	29	7	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	2,899	841	49
3,5	12	2	0	0	1	0	2	1	0	1	0	0	0	0	0	0	1	0	1,253	4	0
4,11	14	5	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1,413	25	0
1,96	11	38	3	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0,673	1444	9
4,29	12	3	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1,456	9	0
3	10	47	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1,099	2209	0
6,45	12	7	6	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1,864	49	36
5,2	6	47	13	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1,649	2209	169
4,5	13	23	2	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1,504	529	4
3,88	12	12	3	0	0	1	3	1	0	1	0	0	1	0	0	0	1	0	1,356	144	9
3,45	10	11	0	0	1	0	2	1	0	1	0	0	1	0	0	0	0	1	1,238	121	0
10,91	12	25	23	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2,390	625	529
4,1	14	6	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	1	1,411	36	0
3	13	3	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1,099	9	1
5,9	12	14	7	1	0	1	2	1	0	1	0	0	0	1	0	0	0	0	1,775	196	49
18	18	13	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	2,890	169	0
4	12	9	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1,386	81	0
3	12	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1,099	1	0
3,55	12	6	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1,267	36	0
3	12	11	1	0	1	1	2	0	0	0	0	0	0	1	0	0	0	1	1,099	121	1
8,75	12	47	44	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2,169	2209	1936
2,9	8	49	6	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1,065	2401	36
6,26	13	37	17	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1,834	1369	289
3,5	13	2	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1,253	4	0
4,6	14	7	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1,526	49	0
6	12	22	8	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	1,792	484	64
2,89	10	8	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1,061	64	0
5,58	16	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1,719	1	1
4	12	43	6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1,386	1849	36
6	16	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1,792	4	4
4,5	12	2	1	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	1,504	4	1
2,92	14	1	3	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1,072	1	9
4,33	18	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1,466	1	0
18,89	17	26	20	0	0	1	2	1	0	0	0	0	0	0	1	1	0	0	2,939	676	400
4,28	13	1	1	0	1	0	2	1	0	0	0	0	1	0	0	1	0	0	1,454	1	1
4,57	14	37	7	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	1,520	1369	49
6,25	15	12	4	0	1	1	2	1	0	0	0	0	0	0	1	1	0	0	1,833	144	16
2,95	14	41	23	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1,082	1681	529
8,75	12	24	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2,169	576	1
8,5	8	38	26	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2,140	1444	676
3,75	12	18	0	0	1	1	4	1	1	0	0	0	0	0	1	0	1	0	1,322	324	0
3,15	12	26	1	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	1,147	676	1
5	8	45	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1,609	2025	4
6,46	12	27	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	1,866	729	0
2	9	2	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	1	0,693	4	0
